,0,1,2,3,4,5,6,7,8,9,10,11
66,cds-WP_002919662.1,cds-WP_000358960.1,cds-WP_002884726.1,cds-WP_000358960.1,cds-WP_013815099.1-40,cds-WP_013815099.1-64,cds-WP_013815099.1-8,cds-WP_002894539.1,cds-WP_021441191.1,cds-WP_023283136.1,cds-WP_013815099.1-16,cds-WP_004174922.1
67,cds-WP_002915259.1,cds-WP_000829818.1,cds-WP_002888731.1,cds-WP_002911547.1,cds-WP_013815099.1-21,cds-WP_013815099.1-10,cds-WP_013815099.1-41,cds-WP_004184823.1,cds-WP_002899294.1,cds-WP_002918369.1,cds-WP_013815099.1-32,cds-WP_032429766.1
68,cds-WP_004148754.1,cds-WP_004178379.1,cds-WP_021440874.1,cds-WP_002884743.1,cds-WP_013815099.1-53,cds-WP_013815099.1-81,cds-WP_013815099.1-38,cds-WP_002920103.1,cds-WP_002918372.1,cds-AF52_RS25155,cds-WP_013815099.1-4,cds-WP_002921337.1
69,cds-WP_002887843.1,cds-WP_023158026.1,cds-WP_001181005.1,cds-WP_002894730.1,cds-WP_013815099.1-38,cds-WP_013815099.1-18,cds-WP_013815099.1-33,cds-WP_032429636.1,cds-WP_002898217.1,cds-WP_004192071.1,cds-WP_013815099.1-24,cds-WP_032429437.1
70,cds-WP_004147333.1,cds-WP_032429669.1,cds-WP_021313170.1,cds-WP_002888550.1,cds-WP_013815099.1-80,cds-WP_013815099.1-71,cds-WP_013815099.1-31,cds-WP_002882903.1,cds-WP_004152265.1,cds-WP_002922944.1,cds-WP_013815099.1-69,cds-WP_002895358.1
71,cds-WP_004178379.1,cds-WP_002914072.1,cds-WP_002922415.1,cds-WP_002922463.1,cds-WP_013815099.1-39,cds-WP_013815099.1-17,cds-WP_013815099.1-53,cds-WP_004217130.1,cds-WP_002919759.1,cds-WP_032429941.1,cds-WP_013815099.1-67,cds-WP_002894709.1
72,cds-WP_001124225.1,cds-WP_085921749.1,cds-WP_002917907.1,cds-WP_002884036.1,cds-WP_013815099.1-76,cds-WP_013815099.1-27,cds-WP_013815099.1-49,cds-WP_004147373.1,cds-WP_000242758.1,cds-WP_000135199.1,cds-WP_013815099.1-39,cds-WP_004177261.1
73,cds-WP_000358960.1,cds-WP_032430135.1,cds-WP_000868187.1,cds-WP_004189469.1,cds-WP_013815099.1-61,cds-WP_013815099.1-31,cds-WP_013815099.1-45,cds-WP_004148352.1,cds-WP_002912878.1,cds-WP_004149938.1,cds-WP_013815099.1-80,cds-WP_002883398.1
74,cds-WP_004174700.1,cds-WP_002913889.1,cds-WP_004885708.1,cds-WP_004151070.1,cds-WP_013815099.1-35,cds-WP_013815099.1-25,cds-WP_013815099.1-43,cds-WP_004178642.1,cds-WP_004189469.1,cds-WP_002883015.1,cds-WP_013815099.1-64,cds-WP_032429533.1
75,cds-WP_032428268.1,cds-WP_002894954.1,cds-WP_002444653.1,cds-WP_004174538.1,cds-WP_013815099.1-62,cds-WP_013815099.1-45,cds-WP_013815099.1-26,cds-WP_095858446.1,cds-WP_004178647.1,cds-WP_000242758.1,cds-WP_013815099.1-36,cds-WP_004152229.1
76,cds-WP_002884036.1,cds-WP_002918371.1,cds-WP_032428654.1,cds-WP_002884342.1,cds-WP_013815099.1-51,cds-WP_013815099.1-59,cds-WP_013815099.1-28,cds-WP_002895845.1,cds-WP_002910407.1,cds-WP_002887961.1,cds-WP_013815099.1-58,cds-WP_004144656.1
77,cds-WP_002919545.1,cds-WP_021440531.1,cds-WP_002434222.1,cds-WP_002913803.1,cds-WP_013815099.1-11,cds-AF52_RS20245,cds-WP_013815099.1-78,cds-WP_004151534.1,cds-WP_002884807.1,cds-WP_032429671.1,cds-WP_013815099.1-52,cds-WP_004174429.1
78,cds-WP_032428723.1,cds-WP_021441082.1,cds-WP_002889308.1,cds-WP_002922429.1,cds-WP_013815099.1-10,cds-WP_013815099.1-72,cds-WP_013815099.1-83,cds-WP_002888628.1,cds-WP_002922427.1,cds-WP_002888845.1,cds-WP_013815099.1-82,cds-WP_024622747.1
79,cds-WP_004145598.1,cds-WP_002920113.1,cds-WP_032429674.1,cds-WP_002898198.1,cds-WP_013815099.1-41,cds-WP_013815099.1-38,cds-WP_013815099.1-67,cds-WP_032429644.1,cds-WP_002898418.1,cds-WP_002911407.1,cds-WP_013815099.1-17,cds-WP_004149357.1
80,cds-WP_032429464.1,cds-WP_002885691.1,cds-WP_002922420.1,cds-WP_004142216.1,cds-WP_013815099.1-48,cds-WP_013815099.1-54,cds-WP_013815099.1-32,cds-WP_032428530.1,cds-WP_032429648.1,cds-WP_002919796.1,cds-WP_013815099.1-14,cds-WP_002907730.1
81,cds-WP_002885424.1,cds-WP_004146797.1,cds-WP_002898422.1,cds-WP_002919786.1,cds-WP_032430142.1,cds-WP_013815099.1-3,cds-WP_013815099.1-60,cds-WP_004150309.1,cds-WP_000729185.1,cds-WP_002886682.1,cds-WP_013815099.1-42,cds-WP_032425377.1
82,cds-WP_032429939.1,cds-WP_004186731.1,cds-WP_002883224.1,cds-WP_004148802.1,cds-WP_013815099.1-46,cds-WP_013815099.1-28,cds-WP_013815099.1-56,cds-WP_004152420.1,cds-WP_002913953.1,cds-AF52_RS21745,cds-WP_013815099.1-22,cds-WP_032429786.1
83,cds-WP_032429406.1,cds-WP_004150800.1,cds-WP_002885722.1,cds-WP_032429672.1,cds-WP_013815099.1-82,cds-WP_013815099.1-56,cds-WP_013815099.1-70,cds-WP_000358960.1,cds-WP_002882520.1,cds-WP_004145166.1,cds-WP_013815099.1-5,cds-WP_032429632.1
84,cds-WP_002918241.1,cds-WP_001124225.1,cds-WP_020804789.1,cds-WP_002913162.1,cds-WP_013815099.1-20,cds-WP_013815099.1-51,cds-WP_013815099.1-59,cds-WP_002885691.1,cds-WP_004147678.1,cds-WP_002882903.1,cds-WP_013815099.1-12,cds-WP_002922465.1
85,cds-WP_000522253.1,cds-WP_032428655.1,cds-WP_002886954.1,cds-WP_002900680.1,cds-WP_013815099.1-52,cds-WP_013815099.1-82,cds-WP_013815099.1-80,cds-WP_002884034.1,cds-WP_021440816.1,cds-WP_004151336.1,cds-WP_013815099.1-8,cds-WP_002920140.1
86,cds-WP_002921271.1,cds-WP_004176729.1,cds-WP_004186731.1,cds-WP_002911427.1,cds-WP_032430171.1,cds-WP_013815099.1-57,cds-WP_013815099.1-52,cds-WP_004140488.1,cds-WP_032429482.1,cds-AF52_RS10495,cds-WP_013815099.1-75,cds-WP_002911388.1
87,cds-WP_004885708.1,cds-WP_002922944.1,cds-WP_000124850.1,cds-WP_002910407.1,cds-AF52_RS0123290,cds-WP_013815099.1-52,cds-WP_013815099.1,cds-WP_032429648.1,cds-WP_002919796.1,cds-WP_002913214.1,cds-AF52_RS0123290,cds-WP_004183398.1
88,cds-WP_002922413.1,cds-WP_002919259.1,cds-WP_002921188.1,cds-WP_004146456.1,cds-WP_032430073.1,cds-WP_013815099.1-5,cds-AF52_RS26600,cds-WP_032429581.1,cds-WP_002922664.1,cds-WP_002895851.1,cds-WP_032430073.1,cds-WP_004186736.1
89,cds-WP_004174069.1-2,cds-WP_004148802.1,cds-WP_002888638.1,cds-WP_002918413.1,cds-AF52_RS0123810,cds-WP_013815099.1-53,cds-WP_013815099.1-62,cds-WP_002918423.1,cds-WP_004150295.1,cds-WP_032430232.1,cds-WP_032430113.1,cds-WP_002882922.1
